Thinking Process:

1.  **Analyze the Request:**
    *   Input sentence: "Nothing is immortal"
    *   Input language: English (en)
    *   Output language: Chinese (zh-CN)
    *   Task: Translate
    *   Context/Keywords provided: "permanent", "eternal", "everlasting", "perpetual", "timeless", "enduring", "immortal", plus links to Collins Dictionary thesaurus for "Nothing", "is", "immortal".

2.  **Analyze the Sentence:**
    *   "Nothing is immortal"
    *   Meaning: Nothing exists forever / Nothing achieves immortality (in a physical or metaphysical sense). It could also be interpreted philosophically as "there is no eternal thing."
    *   Literal translation: 万物皆非不朽 (All things are not immortal) or 没有任何事物是永生的 (Nothing is ever-living/permanent).
    *   Common philosophical context: Often relates to the concept that all physical things decay/die, even if some entities claim divinity.

3.  **Determine the Best Chinese Equivalent:**
    *   "Nothing" can be translated as "没有什么东西" (nothing at all) or simply omitted in a universal statement using "万物" (all things) for emphasis, but keeping "Nothing" explicit is often clearer. "没有任何事物" (No thing exists).
    *   "is" = "是".
    *   "immortal":
        *   Common translation: 不朽 (bùxiǔ), 永生 (yōngshēng).
        *   "Immortal" implies not dying, existing forever.
    *   Phrase construction:
        *   Option 1 (Direct): 没有任何东西是不朽的。 (There is no thing that is immortal.)
        *   Option 2 (Philosophical/Formal): 万物皆非不朽。 (All things are not immortal - similar to "Nothing is...")
        *   Option 3 (Literal): 没有什么是不死的。
    *   Considering the provided keywords ("permanent", "eternal", etc.), the focus is on the state of existence.
    *   Standard translation for philosophical statements like this usually leans towards "没有任何事物是永生的/不朽的".
    *   However, a very concise and poetic way often used in Chinese philosophy/religion is "万物皆非永生" or "世间万物皆非不朽".
    *   But sticking close to the input structure: "Nothing" (没有什么) + "is" (是) + "immortal" (不朽的).
    *   Refined: 没有任何事物是永恒的 / 不朽的。
    *   Let's check the Collins links provided in the prompt context (though I cannot browse, I know their general usage). They define words. The prompt lists synonyms for immortal/eternal/etc. This suggests the translation should capture the "timeless/permanent" aspect of immortality.
    *   "Immortal" in Chinese: 不朽 (bùxiǔ) is the most formal/literary equivalent, often used for ideas or fame ("name immortal"). For biological life, 永生 (yōngshēng) or 不死 (bùsǐ). "Nothing is immortal" usually refers to the concept of eternity. "不朽" fits well with the synonyms provided (permanent, eternal).
    *   Let's go with a standard, clear translation.

    *   Draft 1: 没有任何东西是不朽的。
    *   Draft 2: 万物皆非永生。
    *   Draft 3 (Slightly more philosophical): 世间万物皆无永恒。 (All things in the world have no eternity - changes meaning slightly).

    *   Best balance of literal accuracy and naturalness: "没有任何事物是永生的/不朽的".
    *   Wait, often "Nothing is immortal" is a translation of a Latin phrase or philosophical maxim.
    *   Let's look at similar famous quotes. "Nothing is permanent except change." (无常). "Nothing is immortal." -> 万物皆逝？No.
    *   Direct translation: 没有任何东西是不朽的。
    *   Using the synonym context provided in the prompt title (permanent, eternal...), "不朽" or "永恒" works.
    *   Let's choose "不朽" as it directly maps to "immortal".
    *   Translation: 没有任何事物是不朽的。

    *   Alternative concise version: 万物皆非不朽。 (A bit poetic).
    *   Standard translation: 没有任何东西是永生的。

    *   Let's check the nuances. "Nothing" implies no exception.
    *   Selected translation: 没有任何事物是不朽的。 (No thing is immortal.)
    *   Or simply: 世间万物皆非不朽。
    *   Given the instruction is just "Translate", a direct but natural translation is best.
    *   "Nothing" -> 没有什么 / 没有任何东西
    *   "is" -> 是
    *   "immortal" -> 不朽的 / 永生的

    *   Final decision: "没有任何事物是不朽的。" or "世间万物皆非不朽。"
    *   "没有任何事物是不朽的" is safer and accurate.
